Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1725431825,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1725431826,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1725431827,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1725431828,10,,Aggregated,0.000000,0.000000,47,47,50,50,50,50,50,50,50,50,50,3,0,47,45.333333333333336,39,50,0.0
1725431829,10,,Aggregated,0.000000,0.000000,47,47,50,50,50,50,50,50,50,50,50,3,0,47,45.333333333333336,39,50,0.0
1725431830,10,,Aggregated,0.000000,0.000000,47,47,50,50,50,50,50,50,50,50,50,3,0,47,45.333333333333336,39,50,0.0
1725431831,10,,Aggregated,2.250000,0.000000,45,46,50,51,55,55,55,55,55,55,55,20,0,45,45.0,36,55,0.0
1725431832,10,,Aggregated,2.250000,0.000000,45,46,50,51,55,55,55,55,55,55,55,20,0,45,45.0,36,55,0.0
1725431833,10,,Aggregated,2.250000,0.000000,45,46,50,51,55,55,55,55,55,55,55,20,0,45,45.0,36,55,0.0
1725431834,10,,Aggregated,3.428571,0.000000,45,47,50,50,55,55,59,59,59,59,59,37,0,45,44.486486486486484,29,59,0.0
1725431835,10,,Aggregated,3.428571,0.000000,45,47,50,50,55,55,59,59,59,59,59,37,0,45,44.486486486486484,29,59,0.0
1725431836,10,,Aggregated,3.428571,0.000000,45,47,50,50,55,55,59,59,59,59,59,37,0,45,44.486486486486484,29,59,0.0
1725431837,10,,Aggregated,4.100000,0.000000,44,48,51,55,55,58,59,59,59,59,59,55,0,44,44.90909090909091,29,59,0.0
1725431838,10,,Aggregated,4.100000,0.000000,44,48,51,55,55,58,59,59,59,59,59,55,0,44,44.90909090909091,29,59,0.0
1725431839,10,,Aggregated,4.100000,0.000000,44,48,51,55,55,58,59,59,59,59,59,55,0,44,44.90909090909091,29,59,0.0
1725431840,10,,Aggregated,5.600000,0.000000,45,48,50,53,55,57,59,59,59,59,59,72,0,45,44.84722222222222,29,59,0.0
