Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1727254606,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1727254607,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1727254608,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1727254609,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1727254610,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1727254611,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1727254612,10,,Aggregated,0.000000,0.000000,1,1,1,1,1,1,1,1,1,1,1,2,0,0.78285,0.750889,0.718928,0.78285,0.0
1727254613,10,,Aggregated,0.000000,0.000000,1,1,1,1,1,1,1,1,1,1,1,2,0,0.78285,0.750889,0.718928,0.78285,0.0
1727254614,10,,Aggregated,0.000000,0.000000,1,1,1,1,1,1,1,1,1,1,1,2,0,0.78285,0.750889,0.718928,0.78285,0.0
1727254615,10,,Aggregated,0.200000,0.000000,1,1,1,1,1,1,1,1,1,1,1,3,0,0.822082,0.77462,0.718928,0.822082,0.0
1727254616,10,,Aggregated,0.200000,0.000000,1,1,1,1,1,1,1,1,1,1,1,3,0,0.822082,0.77462,0.718928,0.822082,0.0
